지점,지점명,일시,평균기온(°C),평균 이슬점온도(°C),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),가조시간(hr),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C)
108,서울,2013-01-01,-4.7,-8.9,3.2,1007.6,1018.7,9.6,-1.9,-9.5,-1.7
108,서울,2013-01-02,-11.7,-22.5,1,1020.4,1031.9,9.6,-1.8,-17.5,-1.7
108,서울,2013-01-03,-13.2,-23.4,.9,1026,1037.6,9.7,-3.6,-18.9,-3.4
108,서울,2013-01-04,-10.7,-20.9,1.2,1021.2,1032.7,9.7,-3.8,-19.2,-3.5
108,서울,2013-01-05,-7,-13.6,2.2,1015.4,1026.6,9.7,-3.1,-15.1,-2.9
108,서울,2013-01-06,-6.3,-13.3,2.2,1015.4,1026.5,9.7,-2.8,-14.3,-2.7
108,서울,2013-01-07,-5.1,-13.3,2.2,1014.5,1025.6,9.7,-2.6,-13.3,-2.5
108,서울,2013-01-08,-4.6,-13,2.3,1015,1026.1,9.7,-2.6,-11.3,-2.4
108,서울,2013-01-09,-9,-20.7,1.2,1016.5,1027.8,9.7,-3.8,-13.8,-3.5
108,서울,2013-01-10,-8.3,-19.4,1.3,1019.9,1031.2,9.8,-4.4,-14.1,-4.3
108,서울,2013-01-11,-3.2,-12.1,2.5,1018.3,1029.4,9.8,-2.5,-11.4,-2.6
108,서울,2013-01-12,0,-4.8,4.3,1014,1024.9,9.8,-.8,-7.2,-.8
108,서울,2013-01-13,-.5,-6.7,3.8,1013.5,1024.4,9.8,-1.4,-7.6,-1.1
108,서울,2013-01-14,-2.1,-8.6,3.2,1010.6,1021.6,9.8,-2.8,-9.4,-2.3
108,서울,2013-01-15,-2.1,-9.6,3,1014.3,1025.2,9.9,-3,-10.6,-2.6
108,서울,2013-01-16,-2.6,-8.5,3.3,1013.3,1024.3,9.9,-1.8,-6.9,-1.6
108,서울,2013-01-17,-5.8,-11.9,2.5,1018.3,1029.5,9.9,-4.2,-10.2,-3.8
108,서울,2013-01-18,-4.4,-13.1,2.3,1019.4,1030.5,9.9,-4.6,-13.1,-4.2
108,서울,2013-01-19,.5,-6.6,3.8,1018.3,1029.2,10,-.6,-4.7,-1.1
108,서울,2013-01-20,1.6,-6.6,3.7,1020,1030.9,10,-.2,-5.5,-.2
108,서울,2013-01-21,2.2,-.5,5.9,1010.5,1021.3,10,.6,.4,.2
108,서울,2013-01-22,3.8,-.5,5.9,1010.2,1020.9,10,1.7,1.1,.9
108,서울,2013-01-23,1.8,-1.3,5.6,1008.1,1018.9,10.1,.9,-.1,.7
108,서울,2013-01-24,-.9,-8.7,3.6,1005.9,1016.7,10.1,.1,-7.3,.4
108,서울,2013-01-25,-9.1,-21.1,1.2,1011.3,1022.6,10.1,-3.4,-11.5,-2.6
108,서울,2013-01-26,-9.2,-21.4,1.1,1012.6,1023.9,10.1,-5.9,-13.2,-5.3
108,서울,2013-01-27,-7.3,-17.4,1.6,1014.6,1025.8,10.2,-5.4,-15.2,-5
108,서울,2013-01-28,-3.5,-11.2,2.7,1016.1,1027.1,10.2,-4,-12.7,-3.5
108,서울,2013-01-29,2.2,-4,4.6,1015.8,1026.6,10.3,.4,-.6,-.1
108,서울,2013-01-30,5.4,0,6.1,1018.9,1029.7,10.3,1.2,.7,.7
108,서울,2013-01-31,7.4,-.3,6,1018.9,1029.6,10.3,2.8,.7,1.6
108,서울,2013-02-01,7.3,4.8,8.7,1007.1,1017.6,10.3,4.9,3.2,3.9
108,서울,2013-02-02,-1.1,-10.4,3,1016.5,1027.5,10.4,1.7,-5.6,.6
108,서울,2013-02-03,-3.2,-10.1,3.1,1014.8,1025.8,10.4,-.7,-7.7,-.3
108,서울,2013-02-04,-.8,-4.3,4.5,1010.1,1020.9,10.4,.1,-7.8,.1
108,서울,2013-02-05,-.6,-4.3,4.5,1010.8,1021.7,10.5,0,-7.8,0
108,서울,2013-02-06,-1.5,-5.4,4.2,1007.9,1018.8,10.5,.1,-5,.2
108,서울,2013-02-07,-11.1,-21.5,1.1,1014.8,1026.1,10.5,-.2,-14.5,-.3
108,서울,2013-02-08,-11.5,-22.8,1,1021.2,1032.7,10.6,-1.2,-18.1,-1.2
108,서울,2013-02-09,-7.2,-14.8,2,1017.4,1028.7,10.6,-1.5,-15.1,-1.4
108,서울,2013-02-10,-4,-11.9,2.6,1016,1027.1,10.7,-.7,-10.1,-.6
108,서울,2013-02-11,-5.8,-17.1,1.6,1020.6,1031.8,10.7,-1.5,-14.6,-1.4
108,서울,2013-02-12,-3.8,-11.6,2.6,1015.2,1026.2,10.7,-1.2,-6.7,-1
108,서울,2013-02-13,-1.3,-8.6,3.2,1016.8,1027.8,10.8,-.9,-10.6,-.9
108,서울,2013-02-14,1.1,-5.9,3.9,1014,1024.9,10.8,-.4,-5.1,-.3
108,서울,2013-02-15,-1.2,-12,2.8,1013.1,1024,10.8,.1,-6.3,-.1
108,서울,2013-02-16,-2.6,-15.4,1.9,1016.9,1027.9,10.9,-1.5,-9.8,-1.6
108,서울,2013-02-17,2.3,-9,3.2,1010.2,1020.9,10.9,-.3,-2.4,-.3
108,서울,2013-02-18,.5,-9,3.2,1008.2,1019,10.9,.7,-3.2,.2
108,서울,2013-02-19,-2.9,-19.5,1.3,1014.4,1025.4,11,-.1,-7.5,-.9
108,서울,2013-02-20,-4.8,-18.4,1.5,1018.5,1029.7,11,-1.8,-10.3,-2.8
108,서울,2013-02-21,-1.7,-11.8,2.6,1018.8,1029.8,11.1,-.4,-7.4,-1.2
108,서울,2013-02-22,.5,-8.5,3.6,1015,1025.9,11.1,1,-4.8,.1
108,서울,2013-02-23,-.9,-11.5,2.7,1017.8,1028.8,11.1,.4,-5.7,-.8
108,서울,2013-02-24,1.4,-11.4,2.7,1018.9,1029.8,11.2,1,-4.9,0
108,서울,2013-02-25,3.3,-9.5,3.1,1018,1028.8,11.2,2.1,-2.9,.9
108,서울,2013-02-26,4.8,-3.6,4.9,1010,1020.7,11.3,1.6,.6,1.1
108,서울,2013-02-27,3.4,-2,5.3,1008.7,1019.4,11.3,4,-3.3,2.8
108,서울,2013-02-28,6.7,-3.3,5,1005.5,1016,11.3,4.9,-4,4.1
108,서울,2013-03-01,.8,-7.3,3.8,1006.3,1017.1,11.4,3.5,-4.2,2.9
108,서울,2013-03-02,-.8,-12.2,2.4,1015.8,1026.7,11.4,2.1,-6.7,.6
108,서울,2013-03-03,.4,-9.4,3.1,1012.3,1023.1,11.5,3.3,-5.5,1.4
108,서울,2013-03-04,3.1,-4.6,4.4,1010.1,1020.8,11.5,3.6,-3.6,2.9
108,서울,2013-03-05,3.7,-5.9,4,1013.8,1024.5,11.5,5.2,-5.2,3.7
108,서울,2013-03-06,7.9,-5.1,4.2,1009.2,1019.7,11.6,6.4,-2.8,5.1
